Timestamp,"When you move outside your hostel, with how many people do you usually move together? [-]",How many different friend circles do you have? [-],"During weekdays, apart from class hours, 𝗵𝗼𝘄 𝗺𝗮𝗻𝘆 𝗱𝗮𝘆𝘀 𝗶𝗻 𝗮 𝘄𝗲𝗲𝗸 do you usually step out from your hostel?  [-]","During weekdays, apart from class hours, roughly for 𝗵𝗼𝘄 𝗺𝗮𝗻𝘆 𝗵𝗼𝘂𝗿𝘀 do you stay outside your hostel 𝗶𝗻 𝗮 𝗱𝗮𝘆?  [-]","During 𝘄𝗲𝗲𝗸𝗱𝗮𝘆𝘀, what are your frequent places of visit?","During weekdays, apart from class hours, how many 𝗱𝗶𝗳𝗳𝗲𝗿𝗲𝗻𝘁 𝗽𝗹𝗮𝗰𝗲𝘀 (from the above list) do you usually visit in a 𝘀𝗶𝗻𝗴𝗹𝗲 𝗱𝗮𝘆? [-]",How many times do you usually eat out (Canteen/Restaurants/Eateries) 𝗶𝗻 𝗮 𝘄𝗲𝗲𝗸? [-],What are the eateries that you frequently visit?,Choose the time frames when you usually step out from your hostel during 𝘄𝗲𝗲𝗸𝗲𝗻𝗱𝘀.,"During 𝘄𝗲𝗲𝗸𝗲𝗻𝗱𝘀, what are your frequent places of visit?",When do you usually return to your room to sleep (if you go out)?,Your academic program,Current Year of study,Hostel of Residence,"Your department (Use short code ex. CSE, ME, EE, BB)"
4/14/2021 12:24:23,3,3,3,2,"Gymkhana, Lecture Hall Complex, Basketball court",3,4,"I generally eat in mess, Canteen, Meal on Wheels-near CSE buildings","1PM-3PM, 5PM-7PM, 9PM-11PM","Gymkhana, Basketball court",1am-2am,PG,2 nd,I2,MBA
4/14/2021 12:44:24,1,4,1,2,"A Department, Community Center",1,8,"I generally eat in mess, Meal on Wheels-near CSE buildings","9AM-11AM, 9PM-11PM","A Department, Community Center",10pm-11pm,PG,1 st,G6,BB
4/14/2021 15:04:10,2,4,5,3,"Other Hostel of Residence, Football Ground",1,1,I generally eat in mess,"1PM-3PM, 9PM-11PM","Library, Other Hostel of Residence, Football Ground",10pm-11pm,PG,1 st,B3,PH
4/14/2021 17:59:50,2,1,1,1,I don't go anywhere,1,1,I generally eat in mess,Never,I don't go anywhere,I usually stay in my room,UG,4 th,B1,EE
4/14/2021 18:13:07,3,2,3,2,"Other Hostel of Residence, Football Ground, Cricket ground, A Department, Kendriya Bhandar, Community Center",2,2,I generally eat in mess,9PM-11PM,"Other Hostel of Residence, Basketball court, Football Ground, Cricket ground, A Department, Kendriya Bhandar, Community Center",1am-2am,UG,2 nd,I2,BB
4/14/2021 18:16:31,1,2,1,2,"A Department, I don't go anywhere",1,3,"I generally eat in mess, Canteen, Meal on Wheels-near CSE buildings",9PM-11PM,"A Department, I don't go anywhere","9pm-10pm, I usually stay in my room",PG,2 nd,B2,BB
4/14/2021 22:16:52,3,1,2,8,"A Department, Kendriya Bhandar",2,2,"I generally eat in mess, Canteen, Meal on Wheels-near CSE buildings","3PM-5PM, 9PM-11PM","A Department, Kendriya Bhandar","9pm-10pm, 10pm-11pm, 11pm-12am, 12am-1am",PG,2 nd,B5,CSE
4/15/2021 3:01:31,2,1,3,2,"Kendriya Bhandar, Community Center",1,3,"I generally eat in mess, Canteen, Meal on Wheels-near CSE buildings","7PM-9PM, 9PM-11PM",Kendriya Bhandar,I usually stay in my room,UG,2 nd,G4,CSE
4/15/2021 7:43:36,4,1,5,3,"Library, Community Center",2,5,"I generally eat in mess, Canteen, Meal on Wheels-near CSE buildings, Meals on Wheels-near ME buildings.","11AM-1PM, 3PM-5PM, 5PM-7PM, 7PM-9PM","Outside Campus, Community Center",9pm-10pm,UG,2 nd,B5,EE
4/15/2021 13:13:09,2,1,5,3,Football Ground,1,4,"I generally eat in mess, Canteen","7PM-9PM, 9PM-11PM",Football Ground,"9pm-10pm, I usually stay in my room",PG,2 nd,B3,MBA
4/15/2021 16:51:30,8,3,5,2,"Library, Lecture Hall Complex, A Department",2,3,"I generally eat in mess, Meal on Wheels-near CSE buildings","7PM-9PM, 9PM-11PM","Lecture Building, Other Hostel of Residence, Football Ground, A Department",11pm-12am,PG,2 nd,B-3,MA
4/15/2021 16:51:54,1,1,5,4,"Hockey Ground, A Department, Kendriya Bhandar, I don't go anywhere",1,1,I generally eat in mess,7PM-9PM,"A Department, Kendriya Bhandar","9pm-10pm, 10pm-11pm",PG,3 rd,b2,MA
4/15/2021 16:52:05,3,4,5,2,A Department,2,3,"I generally eat in mess, Canteen, Meal on Wheels-near CSE buildings","9AM-11AM, 1PM-3PM, 5PM-7PM, 9PM-11PM","Football Ground, Tennis court, Cricket ground, Kendriya Bhandar","1am-2am, 2am-3am, I usually stay in my room",PG,2 nd,B5,CSE
4/15/2021 16:53:31,1,3,2,2,"Football Ground, A Department, Kendriya Bhandar",2,5,"I generally eat in mess, Canteen, Outside Campus","9AM-11AM, 1PM-3PM, 9PM-11PM","A Department, Kendriya Bhandar, Community Center",12am-1am,PG,2 nd,G5,EE
4/15/2021 16:53:46,4,2,5,6,"Lecture Hall Complex, Other Hostel of Residence, A Department",2,1,I generally eat in mess,"9AM-11AM, 5PM-7PM, 7PM-9PM",I don't go anywhere,"10pm-11pm, 11pm-12am",UG,2 nd,I2,CSE
4/15/2021 16:53:48,3,3,4,3,"Football Ground, Kendriya Bhandar",3,4,Canteen,"1PM-3PM, 7PM-9PM, 9PM-11PM","Football Ground, Kendriya Bhandar","12am-1am, 1am-2am",UG,2 nd,G4,CSE
4/15/2021 16:54:00,1,2,5,8,"Lecture Hall Complex, A Department, Kendriya Bhandar, Other",4,5,"Canteen, Meal on Wheels-near CSE buildings, Meat Loaf Shop, Outside Campus","11AM-1PM, 7PM-9PM, 9PM-11PM","A Department, Kendriya Bhandar, Other","1am-2am, 2am-3am",PG,2 nd,I2,ME
4/15/2021 16:54:20,3,1,5,2,"Basketball court, Kendriya Bhandar",2,2,"I generally eat in mess, Canteen","9AM-11AM, 1PM-3PM, 9PM-11PM",I don't go anywhere,I usually stay in my room,PG,1 st,I2,MBA
4/15/2021 16:55:45,3,3,5,3,"Football Ground, A Department, Kendriya Bhandar, Other",2,4,"I generally eat in mess, Canteen, Meal on Wheels-near CSE buildings, Meat Loaf Shop","5PM-7PM, 7PM-9PM, 9PM-11PM","Football Ground, A Department, Kendriya Bhandar","11pm-12am, 12am-1am",PG,1 st,G4,CY
4/15/2021 16:56:05,5,1,5,6,"Gymkhana, Outside Campus, A Department, Kendriya Bhandar",2,2,I generally eat in mess,"5PM-7PM, 7PM-9PM","Gymkhana, Other Hostel of Residence, Football Ground, Kendriya Bhandar, Community Center",11pm-12am,PG,2 nd,G6,ME
4/15/2021 16:56:05,4,3,2,2,"Other Hostel of Residence, Football Ground, Cricket ground, A Department, Kendriya Bhandar, Other",3,3,"Canteen, Meal on Wheels-near CSE buildings","3PM-5PM, 5PM-7PM","Other Hostel of Residence, Football Ground, Cricket ground, A Department, Kendriya Bhandar",12am-1am,PG,2 nd,B5,EE
4/15/2021 16:56:24,4,1,5,2,"Other Hostel of Residence, Kendriya Bhandar, Community Center",1,1,"I generally eat in mess, Canteen","11AM-1PM, 5PM-7PM, 9PM-11PM","Other Hostel of Residence, Kendriya Bhandar, Community Center",12am-1am,UG,3 rd,G5,ME
4/15/2021 16:56:28,1,2,5,1,"Library, Basketball court, Kendriya Bhandar",2,7,"Canteen, Meal on Wheels-near CSE buildings",9PM-11PM,"Basketball court, Kendriya Bhandar","12am-1am, 1am-2am",UG,3 rd,G6,ME
4/15/2021 16:56:30,2,2,4,4,"Library, Kendriya Bhandar, Other",4,1,"I generally eat in mess, Meal on Wheels-near CSE buildings, Meat Loaf Shop","9AM-11AM, 11AM-1PM, 5PM-7PM, 9PM-11PM","Library, Kendriya Bhandar",12am-1am,PG,1 st,G6,EE
4/15/2021 16:56:50,3,2,5,4,"Gymkhana, Library, Football Ground, Kendriya Bhandar",2,2,I generally eat in mess,9PM-11PM,"Gymkhana, Library, Football Ground, Kendriya Bhandar","9pm-10pm, 10pm-11pm, 11pm-12am",UG,3 rd,G6,CSE
4/15/2021 16:58:58,1,1,1,3,A Department,2,1,I generally eat in mess,Never,I don't go anywhere,I usually stay in my room,PG,2 nd,B-3,CY
4/15/2021 16:59:17,3,2,5,1,Kendriya Bhandar,1,1,Canteen,9PM-11PM,I don't go anywhere,10pm-11pm,UG,2 nd,I2,CSE
4/15/2021 16:59:30,3,1,2,1,"A Department, Kendriya Bhandar",1,1,I generally eat in mess,Never,Kendriya Bhandar,10pm-11pm,PG,2 nd,B2,PH
4/15/2021 17:01:59,6,4,5,3,"Basketball court, Kendriya Bhandar",2,1,Canteen,"9AM-11AM, 1PM-3PM, 5PM-7PM, 7PM-9PM","Basketball court, Kendriya Bhandar",11pm-12am,UG,2 nd,B5,BB
4/15/2021 17:02:43,3,3,5,5,"Gymkhana, Lecture Hall Complex, Other Hostel of Residence, Community Center",2,5,"I generally eat in mess, Canteen, Meals on Wheels-near ME buildings.","9AM-11AM, 1PM-3PM, 7PM-9PM, 9PM-11PM","Gymkhana, Other Hostel of Residence",1am-2am,UG,2 nd,I-2,CSE
4/15/2021 17:03:31,3,4,5,2,"Library, Lecture Hall Complex, A Department, Computer center, Community Center",3,6,"I generally eat in mess, Canteen, Meal on Wheels-near CSE buildings","11AM-1PM, 3PM-5PM, 5PM-7PM","Library, A Department",10pm-11pm,UG,2 nd,B5,CSE
4/15/2021 17:03:34,1,2,4,1,"Kendriya Bhandar, Other",1,7,"I generally eat in mess, Canteen, Meal on Wheels-near CSE buildings","9AM-11AM, 1PM-3PM, 5PM-7PM, 7PM-9PM",Kendriya Bhandar,I usually stay in my room,UG,3 rd,G,M
4/15/2021 17:03:57,4,2,5,2,"Lecture Hall Complex, Other Hostel of Residence, A Department, Kendriya Bhandar",2,4,"Canteen, Meal on Wheels-near CSE buildings",9PM-11PM,"Other Hostel of Residence, Kendriya Bhandar","10pm-11pm, 11pm-12am",UG,3 rd,G5,CSE
4/15/2021 17:06:34,2,1,2,1,"A Department, Kendriya Bhandar, Community Center, Other",1,1,I generally eat in mess,9PM-11PM,"Kendriya Bhandar, Community Center, I don't go anywhere",10pm-11pm,UG,3 rd,G5,ME
4/15/2021 17:06:35,4,1,3,1,"Other Hostel of Residence, Football Ground, Kendriya Bhandar",1,2,I generally eat in mess,9AM-11AM,"Football Ground, Kendriya Bhandar",11pm-12am,UG,2 nd,B5,ME
4/15/2021 17:06:54,3,2,5,4,"Football Ground, A Department, Kendriya Bhandar",3,8,"I generally eat in mess, Canteen, Meal on Wheels-near CSE buildings, Meat Loaf Shop","9AM-11AM, 1PM-3PM, 7PM-9PM, 9PM-11PM","Football Ground, A Department, Kendriya Bhandar",1am-2am,UG,3 rd,b2,EE
4/15/2021 17:07:07,2,2,4,2,"Other Hostel of Residence, Kendriya Bhandar, Other",1,1,"I generally eat in mess, Canteen","5PM-7PM, 7PM-9PM, 9PM-11PM","Other Hostel of Residence, Other","10pm-11pm, 11pm-12am",PG,1 st,G6,BB
4/15/2021 17:07:32,1,1,1,4,"Library, A Department, Kendriya Bhandar",1,1,"I generally eat in mess, Canteen, Meal on Wheels-near CSE buildings",5PM-7PM,Kendriya Bhandar,"9pm-10pm, I usually stay in my room",PG,1 st,G4,EE
4/15/2021 17:07:44,4,3,4,2,"Lecture Hall Complex, Football Ground, Kendriya Bhandar, Community Center",2,4,"I generally eat in mess, Canteen","5PM-7PM, 7PM-9PM","Football Ground, Outside Campus, Kendriya Bhandar, Community Center",11pm-12am,UG,4 th,B1,CSE
4/15/2021 17:08:13,3,4,4,3,"A Department, Kendriya Bhandar",1,2,"I generally eat in mess, Canteen","9AM-11AM, 1PM-3PM, 9PM-11PM",I don't go anywhere,"10pm-11pm, I usually stay in my room",UG,2 nd,B-5,ME
4/15/2021 17:10:19,3,1,5,2,A Department,2,4,I generally eat in mess,9AM-11AM,A Department,10pm-11pm,PG,1 st,I2,PH
4/15/2021 17:11:37,4,1,5,2,"Gymkhana, Lecture Hall Complex, Football Ground, Kendriya Bhandar",2,2,"I generally eat in mess, Canteen, Meal on Wheels-near CSE buildings","5PM-7PM, 9PM-11PM","Gymkhana, Football Ground, Kendriya Bhandar",12am-1am,PG,1 st,I2,MBA
4/15/2021 17:14:10,2,1,1,3,"Football Ground, A Department",3,3,I generally eat in mess,5PM-7PM,"Football Ground, A Department, Kendriya Bhandar",I usually stay in my room,PG,3 rd,B3,MA
4/15/2021 17:14:19,1,1,1,1,Kendriya Bhandar,1,1,Canteen,9PM-11PM,Kendriya Bhandar,12am-1am,PG,1 st,I2,CSE
4/15/2021 17:17:15,1,2,5,2,"Library, Lecture Hall Complex, Basketball court",1,3,"Canteen, Meal on Wheels-near CSE buildings",9PM-11PM,"Library, Basketball court",11pm-12am,PG,1 st,I-2,MBA
4/15/2021 17:19:47,2,1,1,1,I don't go anywhere,1,3,I generally eat in mess,"9AM-11AM, 1PM-3PM, 9PM-11PM",I don't go anywhere,I usually stay in my room,UG,2 nd,B5,CSE
4/15/2021 17:22:59,1,1,2,1,Kendriya Bhandar,1,2,Canteen,"5PM-7PM, 7PM-9PM",Other,I usually stay in my room,PG,2 nd,B5,MA
4/15/2021 17:24:07,2,2,1,8,A Department,1,1,"I generally eat in mess, Meal on Wheels-near CSE buildings","9AM-11AM, 1PM-3PM, 9PM-11PM","A Department, Kendriya Bhandar",9pm-10pm,PG,2 nd,B-2 hostel,BB
4/15/2021 17:34:57,3,2,5,8,"Football Ground, A Department",2,1,I generally eat in mess,"9AM-11AM, 11AM-1PM, 1PM-3PM, 3PM-5PM, 5PM-7PM, 7PM-9PM, 9PM-11PM","Football Ground, A Department",11pm-12am,PG,1 st,B3,CSE
4/15/2021 17:35:31,6,1,3,2,"Library, Computer center, Community Center",1,1,"I generally eat in mess, Meal on Wheels-near CSE buildings",5PM-7PM,"Library, Community Center",I usually stay in my room,UG,2 nd,B5,EE
4/15/2021 17:39:26,1,2,5,1,Other,1,1,"I generally eat in mess, Canteen","9AM-11AM, 1PM-3PM, 5PM-7PM, 9PM-11PM",Other,I usually stay in my room,PG,2 nd,I2,MBA
4/15/2021 17:50:29,2,2,5,3,"Kendriya Bhandar, Other",2,3,"I generally eat in mess, Canteen, Meal on Wheels-near CSE buildings","1PM-3PM, 9PM-11PM","Kendriya Bhandar, Other",10pm-11pm,PG,1 st,B2,CSE
4/15/2021 17:51:52,4,1,5,2,Football Ground,1,5,"I generally eat in mess, Canteen","9AM-11AM, 7PM-9PM, 9PM-11PM",Football Ground,1am-2am,PG,2 nd,I2,SME
4/15/2021 17:59:46,2,3,5,2,"Football Ground, A Department, Kendriya Bhandar",2,8,"Canteen, Meal on Wheels-near CSE buildings, Meat Loaf Shop","5PM-7PM, 7PM-9PM, 9PM-11PM","Football Ground, Community Center",1am-2am,UG,3 rd,G6,BB
4/15/2021 18:00:30,3,3,2,5,"Gymkhana, Lecture Hall Complex, A Department, Other",2,5,"Canteen, Meal on Wheels-near CSE buildings","5PM-7PM, 9PM-11PM","Gymkhana, A Department, Other",11pm-12am,UG,2 nd,B5,EE
4/15/2021 18:02:10,4,2,5,8,"A Department, Kendriya Bhandar",2,3,"I generally eat in mess, Canteen, Meal on Wheels-near CSE buildings","9AM-11AM, 11AM-1PM, 1PM-3PM, 3PM-5PM, 5PM-7PM, 7PM-9PM, 9PM-11PM","A Department, Kendriya Bhandar",12am-1am,PG,2 nd,G5 ,BB
4/15/2021 18:14:51,2,3,1,1,Football Ground,1,4,"I generally eat in mess, Canteen","5PM-7PM, 7PM-9PM, 9PM-11PM",Football Ground,1am-2am,UG,3 rd,G5,CSE
4/15/2021 18:15:26,1,3,1,2,"Cricket ground, A Department",1,1,I generally eat in mess,9PM-11PM,Cricket ground,"10pm-11pm, 11pm-12am",PG,1 st,B2,SME
4/15/2021 18:44:11,1,2,5,7,"Basketball court, Football Ground, Tennis court, Cricket ground, A Department, Kendriya Bhandar, Other",4,3,"Canteen, Meal on Wheels-near CSE buildings, Meat Loaf Shop, Outside Campus","9AM-11AM, 5PM-7PM, 9PM-11PM","Basketball court, Football Ground, Tennis court, Cricket ground, Outside Campus, Kendriya Bhandar",2am-3am,UG,4 th,B1,ME
4/15/2021 18:50:53,2,2,5,5,"Library, Lecture Hall Complex, Football Ground, A Department, Kendriya Bhandar",3,5,"Canteen, Meal on Wheels-near CSE buildings","5PM-7PM, 9PM-11PM","Basketball court, Tennis court",2am-3am,PG,1 st,G4,EE
4/15/2021 18:56:10,2,2,5,4,"Library, Basketball court, Football Ground, Kendriya Bhandar",2,5,Canteen,"7PM-9PM, 9PM-11PM","Basketball court, Kendriya Bhandar","12am-1am, 1am-2am, 2am-3am",UG,2 nd,G-4,CSE
4/15/2021 19:33:16,1,4,2,1,"Basketball court, Football Ground, Outside Campus, Kendriya Bhandar, Community Center",1,1,Outside Campus,5PM-7PM,Outside Campus,10pm-11pm,PG,1 st,G5 hostel,BB
4/15/2021 20:14:23,4,1,4,1,I don't go anywhere,1,1,"I generally eat in mess, Canteen","9AM-11AM, 1PM-3PM, 7PM-9PM",I don't go anywhere,I usually stay in my room,UG,2 nd,I2,ME
4/15/2021 20:14:30,3,1,2,2,Other,1,1,I generally eat in mess,"9AM-11AM, 1PM-3PM, 7PM-9PM",Other,9pm-10pm,PG,1 st,G4,SME
4/15/2021 20:16:56,3,2,5,1,Kendriya Bhandar,1,2,I generally eat in mess,"5PM-7PM, 9PM-11PM",I don't go anywhere,12am-1am,UG,2 nd,B5,BB
4/15/2021 20:28:16,2,1,1,1,Other,1,1,I generally eat in mess,"9AM-11AM, 1PM-3PM, 9PM-11PM",I don't go anywhere,12am-1am,PG,2 nd,G6,BB
4/15/2021 20:33:35,4,4,2,3,"Gymkhana, Basketball court, Football Ground, Cricket ground, Outside Campus, Computer center, Kendriya Bhandar",2,2,"I generally eat in mess, Canteen, Outside Campus","7PM-9PM, 9PM-11PM","Gymkhana, Basketball court, Football Ground, Cricket ground, Kendriya Bhandar","12am-1am, 1am-2am",UG,1 st,NA,MT
4/15/2021 20:35:44,2,2,2,1,"A Department, I don't go anywhere",1,2,"I generally eat in mess, Canteen, Meal on Wheels-near CSE buildings",9PM-11PM,"A Department, I don't go anywhere",11pm-12am,PG,1 st,G6,BB
4/15/2021 21:23:25,4,3,5,5,"Library, Other Hostel of Residence, Football Ground, Outside Campus, Community Center",2,3,"I generally eat in mess, Canteen, Meal on Wheels-near CSE buildings","1PM-3PM, 5PM-7PM, 7PM-9PM, 9PM-11PM","Library, Other Hostel of Residence, Football Ground, Community Center","10pm-11pm, 11pm-12am, 12am-1am",UG,2 nd,B5,CSE
4/15/2021 22:02:50,2,1,5,4,"Lecture Hall Complex, Football Ground, Kendriya Bhandar",2,4,"I generally eat in mess, Canteen, Meal on Wheels-near CSE buildings","9AM-11AM, 1PM-3PM, 9PM-11PM","Football Ground, Kendriya Bhandar, Community Center",1am-2am,PG,1 st,G4,MBA
4/15/2021 22:19:54,4,3,5,6,"Lecture Hall Complex, Cricket ground, Kendriya Bhandar",3,8,"Canteen, Meal on Wheels-near CSE buildings, Meat Loaf Shop","7PM-9PM, 9PM-11PM","Football Ground, Kendriya Bhandar",2am-3am,PG,1 st,G4,MBA
4/15/2021 23:02:25,2,1,5,2,"Kendriya Bhandar, I don't go anywhere",1,3,"I generally eat in mess, Canteen","9AM-11AM, 1PM-3PM, 5PM-7PM, 7PM-9PM",Kendriya Bhandar,I usually stay in my room,UG,2 nd,B5,ME
4/15/2021 23:07:08,3,2,4,2,"A Department, Kendriya Bhandar",2,4,"I generally eat in mess, Canteen","7PM-9PM, 9PM-11PM","Cricket ground, Kendriya Bhandar","10pm-11pm, 11pm-12am",UG,2 nd,I2,BB
4/15/2021 23:51:45,2,2,5,8,A Department,2,3,"Canteen, Meat Loaf Shop","11AM-1PM, 9PM-11PM",A Department,"10pm-11pm, 11pm-12am",PG,2 nd,B2,CY
4/16/2021 10:57:26,4,1,3,5,"A Department, Kendriya Bhandar",1,1,I generally eat in mess,Never,I don't go anywhere,10pm-11pm,PG,2 nd,B2,EE
4/16/2021 11:14:48,4,2,3,2,"A Department, Kendriya Bhandar, Other",2,1,I generally eat in mess,7PM-9PM,"A Department, Kendriya Bhandar, Other",9pm-10pm,PG,1 st,B2,HSS
4/16/2021 12:37:44,4,3,2,1,"Library, Lecture Hall Complex, A Department, Community Center",2,1,"I generally eat in mess, Canteen","9AM-11AM, 1PM-3PM, 7PM-9PM","Library, Community Center",9pm-10pm,UG,2 nd,I2,CSE
4/16/2021 12:39:48,3,1,5,2,Kendriya Bhandar,2,3,"I generally eat in mess, Canteen",9PM-11PM,Kendriya Bhandar,9pm-10pm,UG,2 nd,B5,CSE
4/16/2021 14:51:41,2,2,2,1,"Community Center, Other",1,1,I generally eat in mess,Never,I don't go anywhere,10pm-11pm,UG,2 nd,I2,EE
4/18/2021 10:44:30,1,1,1,6,"Library, Football Ground, A Department, Computer center, Kendriya Bhandar",2,2,"I generally eat in mess, Canteen","9AM-11AM, 1PM-3PM, 9PM-11PM","Library, Basketball court, A Department",11pm-12am,PG,2 nd,B2 ,BB
4/19/2021 10:22:56,1,1,2,4,"A Department, Kendriya Bhandar",1,2,I generally eat in mess,9AM-11AM,"A Department, Kendriya Bhandar",11pm-12am,PG,1 st,B1,MA
