Timestamp,"When you move outside your hostel, with how many people do you usually move together? [-]",How many different friend circles do you have? [-],"During weekdays, apart from class hours, 𝗵𝗼𝘄 𝗺𝗮𝗻𝘆 𝗱𝗮𝘆𝘀 𝗶𝗻 𝗮 𝘄𝗲𝗲𝗸 do you usually step out from your hostel?  [-]","During weekdays, apart from class hours, roughly for 𝗵𝗼𝘄 𝗺𝗮𝗻𝘆 𝗵𝗼𝘂𝗿𝘀 do you stay outside your hostel 𝗶𝗻 𝗮 𝗱𝗮𝘆?  [-]","During 𝘄𝗲𝗲𝗸𝗱𝗮𝘆𝘀, what are your frequent places of visit?","During weekdays, apart from class hours, how many 𝗱𝗶𝗳𝗳𝗲𝗿𝗲𝗻𝘁 𝗽𝗹𝗮𝗰𝗲𝘀 (from the above list) do you usually visit in a 𝘀𝗶𝗻𝗴𝗹𝗲 𝗱𝗮𝘆? [-]",How many times do you usually eat out (Canteen/Restaurants/Eateries) 𝗶𝗻 𝗮 𝘄𝗲𝗲𝗸? [-],What are the eateries that you frequently visit?,Choose the time frames when you usually step out from your hostel during 𝘄𝗲𝗲𝗸𝗲𝗻𝗱𝘀.,"During 𝘄𝗲𝗲𝗸𝗲𝗻𝗱𝘀, what are your frequent places of visit?",When do you usually return to your room to sleep (if you go out)?,Your academic program,Current Year of study,Hostel of Residence,"Your department (Use short code ex. CSE, ME, EE, BB)"
4/13/2021 15:59:22,6,3,1,1,Kendriya Bhandar,1,3,"I generally eat in mess, Canteen",Never,Kendriya Bhandar,I usually stay in my room,UG,2 nd,B5,EE
4/13/2021 15:59:46,1,1,1,1,I don't go anywhere,1,1,I generally eat in mess,3PM-5PM,I don't go anywhere,I usually stay in my room,UG,4 th,B1,ME
4/13/2021 16:02:49,1,1,3,2,Kendriya Bhandar,1,1,I generally eat in mess,Never,I don't go anywhere,I usually stay in my room,UG,2 nd,B5,EE
4/13/2021 16:02:52,1,2,5,2,Other,1,3,I generally eat in mess,"9AM-11AM, 1PM-3PM, 9PM-11PM","Kendriya Bhandar, Other",11pm-12am,UG,2 nd,B5,CSE
4/13/2021 16:03:42,2,1,5,4,"Football Ground, A Department, Kendriya Bhandar",2,1,"I generally eat in mess, Canteen","9AM-11AM, 7PM-9PM, 9PM-11PM","Football Ground, A Department, Kendriya Bhandar","10pm-11pm, 11pm-12am",PG,1 st,B2,HSS
4/13/2021 16:06:05,2,1,3,2,"Library, A Department, Kendriya Bhandar, I don't go anywhere",1,8,"Canteen, Meal on Wheels-near CSE buildings, Meat Loaf Shop","7PM-9PM, 9PM-11PM",I don't go anywhere,"10pm-11pm, 11pm-12am",PG,2 nd,G4,IDRP SOI
4/13/2021 16:06:34,1,2,5,8,"Other Hostel of Residence, Football Ground, Outside Campus, A Department, Kendriya Bhandar, Community Center, Other",3,2,"I generally eat in mess, Meal on Wheels-near CSE buildings, Outside Campus","9AM-11AM, 11AM-1PM, 1PM-3PM, 3PM-5PM, 5PM-7PM, 7PM-9PM, 9PM-11PM","Other Hostel of Residence, Football Ground, Outside Campus, A Department, Kendriya Bhandar, Community Center, Other","10pm-11pm, 11pm-12am",PG,2 nd,I2,CSE
4/13/2021 16:09:29,1,1,1,8,A Department,1,3,"I generally eat in mess, Canteen",9AM-11AM,A Department,9pm-10pm,PG,3 rd,GREEN-5,CY
4/13/2021 16:12:52,1,1,4,3,"Other Hostel of Residence, Hockey Ground, Basketball court, Football Ground, Tennis court, A Department, Kendriya Bhandar",2,1,I generally eat in mess,9PM-11PM,Football Ground,"12am-1am, 1am-2am",PG,1 st,B3,PH
4/13/2021 16:15:03,3,1,5,2,"A Department, Kendriya Bhandar",1,1,I generally eat in mess,"9AM-11AM, 7PM-9PM",A Department,9pm-10pm,PG,2 nd,G-5,BB
4/13/2021 16:18:49,2,4,5,7,"Cricket ground, A Department, Kendriya Bhandar, Other",2,1,"I generally eat in mess, Canteen, Meal on Wheels-near CSE buildings","9AM-11AM, 1PM-3PM, 5PM-7PM, 7PM-9PM, 9PM-11PM","Cricket ground, A Department, Other",10pm-11pm,PG,2 nd,B2,CSE
4/13/2021 16:22:05,3,5,5,3,"Cricket ground, Outside Campus, Kendriya Bhandar, Community Center, Other",3,3,"Canteen, Outside Campus, Other","11AM-1PM, 5PM-7PM, 7PM-9PM, 9PM-11PM","Football Ground, Outside Campus, Other","11pm-12am, 12am-1am",UG,3 rd,G-6 Hostel ,ME
4/13/2021 16:26:15,4,2,5,5,"Gymkhana, Lecture Hall Complex, Tennis court, Community Center, Other",2,3,"I generally eat in mess, Canteen, Meal on Wheels-near CSE buildings","9AM-11AM, 11AM-1PM, 1PM-3PM, 3PM-5PM, 5PM-7PM, 7PM-9PM","Gymkhana, Lecture Building, Tennis court, Other",11pm-12am,UG,2 nd,B5,EE
4/13/2021 16:27:06,4,4,5,4,"Outside Campus, Kendriya Bhandar, Other",2,2,"Canteen, Meal on Wheels-near CSE buildings","5PM-7PM, 9PM-11PM","Football Ground, Kendriya Bhandar, Other",10pm-11pm,PG,1 st,B2,IDRP
4/13/2021 16:29:10,3,3,5,2,Other,1,2,I generally eat in mess,"9AM-11AM, 1PM-3PM, 9PM-11PM",Basketball court,11pm-12am,UG,2 nd,I 2,ME
4/13/2021 16:31:19,3,1,5,1,Kendriya Bhandar,1,1,I generally eat in mess,"11AM-1PM, 5PM-7PM, 9PM-11PM",I don't go anywhere,10pm-11pm,PG,1 st,B2,CSE
4/13/2021 16:32:27,2,3,3,4,"Football Ground, A Department, Kendriya Bhandar",2,7,"I generally eat in mess, Canteen",7PM-9PM,"Football Ground, A Department, Kendriya Bhandar",1am-2am,PG,2 nd,G6,ME
4/13/2021 16:34:44,1,3,5,8,A Department,1,7,"I generally eat in mess, Meal on Wheels-near CSE buildings",9AM-11AM,A Department,10pm-11pm,PG,2 nd,G6,CSE
4/13/2021 16:35:00,2,2,4,2,"Football Ground, Kendriya Bhandar",2,2,Canteen,"7PM-9PM, 9PM-11PM","Football Ground, Kendriya Bhandar",10pm-11pm,PG,1 st,B2,IDRP-MMT
4/13/2021 16:39:08,1,1,5,3,A Department,1,1,I generally eat in mess,Never,I don't go anywhere,"9pm-10pm, I usually stay in my room",PG,2 nd,B3,MA
4/13/2021 16:40:15,2,3,4,3,"Library, Tennis court, Cricket ground, A Department, Kendriya Bhandar, Community Center",2,4,"I generally eat in mess, Canteen, Meat Loaf Shop","5PM-7PM, 9PM-11PM","Football Ground, Tennis court, Cricket ground, A Department, Kendriya Bhandar, Community Center",11pm-12am,PG,3 rd,Green-6,PH
4/13/2021 16:42:26,2,1,5,2,"A Department, Kendriya Bhandar",1,3,"I generally eat in mess, Canteen","1PM-3PM, 7PM-9PM, 9PM-11PM","A Department, Kendriya Bhandar",I usually stay in my room,PG,2 nd,G4,CSE
4/13/2021 16:44:35,2,3,4,4,Football Ground,2,2,"I generally eat in mess, Meal on Wheels-near CSE buildings, Meat Loaf Shop",9PM-11PM,"Library, Football Ground",12am-1am,PG,1 st,G4,EE
4/13/2021 16:44:38,3,1,1,1,Kendriya Bhandar,1,1,I generally eat in mess,"9AM-11AM, 1PM-3PM, 7PM-9PM",Kendriya Bhandar,I usually stay in my room,UG,3 rd,G5,ME
4/13/2021 16:49:33,1,3,5,3,"Library, Other Hostel of Residence, A Department, Kendriya Bhandar",2,1,"I generally eat in mess, Canteen, Meal on Wheels-near CSE buildings, Meat Loaf Shop, Outside Campus","9AM-11AM, 1PM-3PM, 5PM-7PM, 9PM-11PM","Library, Other Hostel of Residence, A Department, Kendriya Bhandar","11pm-12am, 12am-1am, 1am-2am",PG,1 st,G5-354,MT
4/13/2021 16:50:22,2,2,3,2,"Football Ground, Kendriya Bhandar",1,2,"I generally eat in mess, Canteen",9PM-11PM,"Football Ground, Kendriya Bhandar","11pm-12am, 12am-1am",UG,2 nd,G4,EE
4/13/2021 16:50:35,2,2,2,2,"Football Ground, Kendriya Bhandar",2,2,I generally eat in mess,7PM-9PM,"Football Ground, Kendriya Bhandar",9pm-10pm,UG,2 nd,B5,CSE
4/13/2021 16:51:58,2,2,5,5,"Football Ground, A Department, Kendriya Bhandar",2,1,"I generally eat in mess, Canteen","7PM-9PM, 9PM-11PM","Football Ground, A Department, Kendriya Bhandar","12am-1am, 1am-2am",PG,2 nd,G5,MA
4/13/2021 16:52:36,2,2,3,1,"Football Ground, Kendriya Bhandar, Other",1,1,I generally eat in mess,"7PM-9PM, 9PM-11PM","Football Ground, Cricket ground, Kendriya Bhandar, Other","12am-1am, I usually stay in my room",UG,2 nd,B-5,EE
4/13/2021 16:54:19,3,3,3,2,"Library, Football Ground, Kendriya Bhandar, Other",2,3,I generally eat in mess,9PM-11PM,"Library, Football Ground, Kendriya Bhandar",9pm-10pm,UG,2 nd,B5,EE
4/13/2021 17:04:49,1,2,5,2,"Other Hostel of Residence, Football Ground, A Department, Kendriya Bhandar",2,4,"I generally eat in mess, Canteen, Meals on Wheels-near ME buildings., Meat Loaf Shop","5PM-7PM, 7PM-9PM, 9PM-11PM","Other Hostel of Residence, Football Ground, A Department, Kendriya Bhandar","10pm-11pm, 11pm-12am, 12am-1am",PG,2 nd,G5,EE
4/13/2021 17:06:02,2,2,4,3,"Lecture Hall Complex, Basketball court, A Department, Kendriya Bhandar, Community Center",2,3,I generally eat in mess,"5PM-7PM, 7PM-9PM, 9PM-11PM",Basketball court,2am-3am,UG,4 th,B2,EE
4/13/2021 17:06:16,1,1,2,2,"A Department, Kendriya Bhandar",2,4,"I generally eat in mess, Meal on Wheels-near CSE buildings",5PM-7PM,"A Department, Kendriya Bhandar",I usually stay in my room,PG,2 nd,G5,EE
4/13/2021 17:07:38,2,2,1,1,"Cricket ground, Kendriya Bhandar, Community Center",1,1,"I generally eat in mess, Meal on Wheels-near CSE buildings","9AM-11AM, 11AM-1PM, 5PM-7PM","Cricket ground, Kendriya Bhandar, Other",11pm-12am,UG,2 nd,.,ME
4/13/2021 17:13:11,2,1,3,8,"A Department, Other",3,1,I generally eat in mess,9AM-11AM,"A Department, Other","11pm-12am, 12am-1am",PG,2 nd,G6,MME
4/13/2021 17:17:07,1,1,5,5,"A Department, Kendriya Bhandar",2,3,"I generally eat in mess, Canteen","9AM-11AM, 1PM-3PM, 5PM-7PM, 7PM-9PM","A Department, Kendriya Bhandar",9pm-10pm,PG,1 st,B3,MT
4/13/2021 17:19:53,1,1,1,1,I don't go anywhere,1,1,I generally eat in mess,"9AM-11AM, 1PM-3PM, 5PM-7PM, 7PM-9PM",I don't go anywhere,I usually stay in my room,UG,2 nd,B5,CSE
4/13/2021 17:22:58,2,1,5,2,"Football Ground, A Department, Kendriya Bhandar",2,2,"I generally eat in mess, Canteen","7PM-9PM, 9PM-11PM","Football Ground, A Department, Kendriya Bhandar, Community Center",11pm-12am,PG,1 st,B3,MT
4/13/2021 17:49:27,4,1,5,1,"Library, Football Ground",1,5,"I generally eat in mess, Canteen","5PM-7PM, 9PM-11PM","Football Ground, Kendriya Bhandar",11pm-12am,UG,4 th,B1,EE
4/13/2021 17:50:46,6,2,5,2,"Football Ground, Kendriya Bhandar",2,7,"I generally eat in mess, Canteen","7PM-9PM, 9PM-11PM","Football Ground, Kendriya Bhandar","9pm-10pm, 10pm-11pm, 11pm-12am",UG,2 nd,I2,BB
4/13/2021 17:55:30,2,2,3,2,Other,1,1,I generally eat in mess,"11AM-1PM, 5PM-7PM, 7PM-9PM",Other,I usually stay in my room,PG,5 th,G6,EE
4/13/2021 18:00:13,1,2,2,8,"Football Ground, A Department, Kendriya Bhandar",1,4,"I generally eat in mess, Canteen","9AM-11AM, 11AM-1PM, 1PM-3PM, 3PM-5PM, 7PM-9PM","Basketball court, A Department, Kendriya Bhandar",10pm-11pm,PG,2 nd,B2,CSE
4/13/2021 18:06:39,2,1,5,8,A Department,1,1,Canteen,"9AM-11AM, 11AM-1PM, 1PM-3PM, 3PM-5PM, 5PM-7PM, 7PM-9PM, 9PM-11PM",A Department,"12am-1am, 1am-2am, 2am-3am",PG,2 nd,B3,CY
4/13/2021 18:11:37,3,2,3,2,"Other Hostel of Residence, Football Ground, Cricket ground, A Department, Kendriya Bhandar, Community Center",2,2,I generally eat in mess,9PM-11PM,"Other Hostel of Residence, Basketball court, Football Ground, Cricket ground, A Department, Kendriya Bhandar, Community Center",1am-2am,UG,2 nd,I2,BB
