Subject,Name,Faculty Name,Ltp,Credits,Slot,Room
CE67502,THESIS PART-II,Damodar Maity,0-0-0,20,--,
CE68101,COMPREHENSIVE VIVA-VOCE,Anirban Dhar,0-0-0,3,--,
CE68201,COMPREHENSIVE VIVA-VOCE,Kusam Sudhakar Reddy,0-0-0,3,--,
CE68301,COMPREHENSIVE VIVA-VOCE,Anjali Pal,0-0-0,3,--,
CE68401,COMPREHENSIVE VIVA-VOCE,Kousik Deb,0-0-0,3,--,
CE68501,COMPREHENSIVE VIVA-VOCE,Damodar Maity,0-0-0,3,--,
CE69004,CASE STUDIES ON COMPUTATIONAL HYDRAULICS AND SEDIMENT TRANSPORT,Anirban Dhar,0-0-3,2,N,0
CE69006,TRANSPORTATION ENGINEERING LAB II,"Kranthi Kumar Kuna,M Amarnatha Reddy",0-0-3,2,X,0
CE69008,ADVANCED ENVIRONMENTAL MONITORING LAB,Anjali Pal,0-0-3,2,P,0
CE69009,DESIGN AND EVALUATION OF TRANSPORTATION FACILITIES(LAB),Kusam Sudhakar Reddy,0-0-3,2,N,NC342
CE69010,FOUNDATION DESIGN,Sujit Kumar Dash,0-0-3,2,X,0
CE69012,STRUCTURAL LAB.-II,Shaikh Jahangir Hossain,0-0-3,2,X,0
CE69102,SEMINAR-II,Anirban Dhar,0-0-3,2,--,
CE69202,SEMINAR-II,Kranthi Kumar Kuna,0-0-3,2,P,0
CE69302,SEMINAR-II,Anjali Pal,0-0-3,2,--,
CE69402,SEMINAR-II,Kousik Deb,0-0-3,2,--,
CE69502,SEMINAR-II,Damodar Maity,0-0-3,2,--,
EV20001,ENVIRONMENTAL SCIENCE,"ADITYA KUMAR PATRA,ANJALI PAL,BASANTA KUMAR PRUSTY,BINAY KANTI DUTTA,BRAJESH KUMAR DUBEY,PARTHASARATHI CHAKRABORTY,PRANAB DEB,SHAMIK CHOWDHURY,SUDHA GOEL",2-0-0,2,X4,"NR422, NR121, NR421, NR322, NR321"
RR61002,RAILWAY ENGINEERING - II,Pradip Kumar Ray,3-1-0,4,--,
RR67002,THESIS PART - II,Arghya Deb,0-0-0,20,--,
RR68002,COMPREHENSIVE VIVA,Arghya Deb,0-0-0,3,--,
RR69092,RAILWAY ENGINEERING LABORATORY - II,"Arghya Deb,Shaikh Jahangir Hossain",0-0-3,2,--,
RR69094,DESIGN PROJECT,"Arghya Deb,Subhransu Roy",0-0-3,2,--,
