Subject,Name,Faculty Name,Ltp,Credits,Slot,Room
ET60002,EDUCATIONAL DATA ANALYTICS,Jiaul Hoque Paik,3-0-0,3,D3,NC444
ET60004,INFORMATION AND COMMUNICATION TECHNOLOGY IN EDUCATION,Bani Bhattacharya,3-1-0,4,D4,CET Studio-1
ET60006,AUDIO SYSTEMS ENGINEERING,Shyamal Kumar Das Mandal,3-0-0,3,E3,NC132
ET60010,EDUCATIONAL NEUROSCIENCE,Rajlakshmi Guha,3-0-0,3,V3,CET Studio-1
ET60012,FOUNDATIONS OF EDUCATIONAL TECHNOLOGY,Kaushal Kumar Bhagat,3-0-0,3,D3,CET Studio-1
ET60029,TECHNOLOGY FOR SPECIAL NEEDS EDUCATION,Manjira Sinha,3-0-0,3,F3,NR124
ET61002,LANGUAGE PROCESSING FOR E-LEARNING,Plaban Kumar Bhowmick,3-1-0,4,F4,CET Studio-1
