Subject,Name,Faculty Name,Ltp,Credits,Slot,Room
ME60422,ACOUSTICS AND NOISE CONTROL,Amiya Ranjan Mohanty,3-1-0,4,--,
ME60424,NON-LINEAR VIBRATIONS,Ranjan Bhattacharyya,3-1-0,4,--,
ME60428,VIBRATION OF STRUCTURES,Goutam Chakraborty,3-1-0,4,--,
ME60430,MECHANICS OF HUMAN BODY,Sanjay Gupta,3-1-0,4,--,
ME60432,MICRO MECHANICS AND NANOMECHANICS,Manas Chandra Ray,3-1-0,4,--,
ME61004,CONVECTIVE HEAT AND MASS TRANSFER,Sandipan Ghosh Moulic,3-1-0,4,--,
ME61006,RAIL VEHICLE DYNAMICS,"Anirvan Dasgupta,Kingshook Bhattacharyya",3-1-0,4,--,
ME67102,THESIS PART-II,Partha Saha,0-0-0,20,--,
ME67202,THESIS PART-II,Manab Kumar Das,0-0-0,20,--,
ME67302,THESIS PART-II,Kingshook Bhattacharyya,0-0-0,20,--,
ME68101,COMPREHENSIVE VIVA-VOCE,Partha Saha,0-0-0,3,--,
ME68201,COMPREHENSIVE VIVA-VOCE,Manab Kumar Das,0-0-0,3,--,
ME68301,COMPREHENSIVE VIVA-VOCE,Kingshook Bhattacharyya,0-0-0,3,--,
ME69006,CFD LAB,Sukanta Kumar Dash,0-0-3,2,--,
ME69008,DESIGN PROJECT,"Prasanta Kumar Das,Somnath Roy,S Ramanujam",0-0-3,2,--,
ME69016,MICROPROCESSOR APPLICATIONS LAB.,"Cheruvu Siva Kumar,Mihir Sarangi",0-0-3,2,--,
ME69036,MECHATRONICS LABORATORY,"Arun Kumar Samantaray,Cheruvu Siva Kumar,Mihir Sarangi",0-0-3,2,--,
ME69102,ADVANCED MANUFACTURING LABORATORY-II,"Asimava Roy Choudhury,Cheruvu Siva Kumar,Dilip Kumar Pratihar,Sushanta Kumar Panda",0-0-3,2,--,
ME69106,SEMINAR-II,Ashish Kumar Nath,0-0-3,2,--,
ME69206,SEMINAR-II,"Abhijit Guha,Maddali Ramgopal",0-0-3,2,--,
ME69306,SEMINAR-II,"Kumar Ray,Ranjan Bhattacharyya",0-0-3,2,--,
MF30003,ROBOTS AND COMPUTER CONTROLLED MACHINES,"Asimava Roy Choudhury,Dilip Kumar Pratihar",3-1-0,4,--,
MF30604,NON-TRADITIONAL MANUFACTURING PROCESSES,"Ashish Kumar Nath,Partha Saha",3-0-0,3,--,
MF40604,LASER APPLICATIONS IN MANUFACTURING,Ashish Kumar Nath,3-0-0,3,--,
MF47601,PROJECT-I,"Anandaroop Bhattacharya,Atul Jain,Sankha Deb",0-0-6,4,--,
MF47602,PROJECT-II,"Anandaroop Bhattacharya,Atul Jain,Sankha Deb",0-0-9,6,--,
MF69002,MICROPROCESSOR APPLICATIONS LAB.,"Cheruvu Siva Kumar,Mihir Sarangi",0-0-3,2,--,
