Subject,Name,Faculty Name,Ltp,Credits,Slot,Room
RX60011,INTRODUCTION TO GROSS NATIONAL HAPPINESS (GNH),"Priyadarshi Patnaik,Saamdu Chetri",3-0-0,3,B3,"NC432,NC432"
RX60012,SCIENCE OF HAPPINESS AND WELL-BEING,"Manas Kumar Mandal,Priyadarshi Patnaik,Sangeeta Das Bhattacharya,Vijai Nath Giri",2-0-2,3,C4,"NC443,NC443,NC443,NC443"
RX60018,CONSUMER HAPPINESS AND WELLBEING,"Manas Kumar Mandal,Priyadarshi Patnaik,Tanusree Dutta",3-0-0,3,A3,"NC432,NC432"
RX60019,HAPPINESS AT WORK,"Kailash Bihari Lal Srivastava,Manas Kumar Mandal,Priyadarshi Patnaik,Susmita Mukhopadhyay,Tanusree Dutta",3-0-0,3,B3,"NC431,NC431,NC431,NC431,NC431"
