Subject,Name,Faculty Name,Ltp,Credits,Slot,Room
PE40002,HYDROCARBON PRODUCTION ENGINEERING,"Aditya Vyas,Sandeep D Kulkarni",3-0-0,3,B3,
PE57002,PROJECT,"Aditya Vyas,Sandeep D Kulkarni",0-0-22,15,L,0
PE58002,COMPREHENSIVE VIVA VOCE,"Aditya Vyas,Sandeep D Kulkarni",0-0-3,2,J,0
PE60002,RESERVOIR ENGINEERING FUNDAMENTALS,Aditya Vyas,3-0-0,3,E4,
PE60004,RESERVE ESTIMATION,Ankur Roy,3-0-0,3,D3,0
PE60006,ADVANCED DRILLING AND WELL COMPLETIONS,Sandeep D Kulkarni,3-0-0,3,C3,0
PE69002,DRILLING TECHNOLOGY LABORATORY,Sandeep D Kulkarni,0-0-3,2,X,0
