Subject,Name,Faculty Name,Ltp,Credits,Slot,Room
RT60002,RUBBER PRODUCT MANUFACTURING TECHNOLOGY,"Kinsuk Naskar,Narayan Chandra Das",4-0-0,4,--,
RT60004,INDUSTRIAL RUBBER II,"Kinsuk Naskar,Nikhil Kumar Singha",4-0-0,4,--,
RT60016,ENGINEERING DESIGN WITH RUBBER,"Kinsuk Naskar,Santanu Chattopadhyay",4-0-0,4,--,
RT60020,CHARACTERIZATION OF RUBBER AND RUBBER LIKE MATERIALS,"Nikhil Kumar Singha,Santanu Chattopadhyay",3-0-0,3,--,
RT60022,TYRE TECHNOLOGY,Narayan Chandra Das,3-0-0,3,--,
RT67102,THESIS PART-II,Santanu Chattopadhyay,0-0-0,20,--,
RT68002,COMPREHENSIVE VIVA VOCE,Santanu Chattopadhyay,0-0-0,3,--,
RT69002,SEMINAR-II,Narayan Chandra Das,0-0-3,2,--,
RT69004,RUBBER LABORATORY-II,"Narayan Chandra Das,Santanu Chattopadhyay",0-0-6,4,--,
