Subject,Name,Faculty Name,Ltp,Credits,Slot,Room
EG30002,ENERGY CONVERSION PROCESSES,"Chirodeep Bakli,Jatindra Nath Roy,Prabodh Bajpai,Sreeraj Puravankara",3-0-0,3,S3,"NC231,NC231,NC231,NC231"
ES60002,WASTE TO WEALTH: MICROBIAL INTERVENTION,"Makarand Madhao Ghangrekar,Rintu Banerjee",3-1-0,4,U4,0
ES60008,METABOLIC SYSTEMS BIOLOGY FOR BIOFUELS,Amit Ghosh,3-0-0,3,B3,NC442
ES61002,SOLAR PHOTOVOLTAIC TECHNOLOGIES AND SYSTEMS,"Jatindra Nath Roy,Trilok Singh",3-1-0,4,F4,"NC442,NC442"
ES61008,ENERGY SYSTEMS MODELLING,"Amit Ghosh,Chirodeep Bakli,Debabrata Das,Saikat Chakraborty",3-1-0,4,E4,"NC442,NC442,NC442,NC442"
ES67004,PROJECT II,"Amit Ghosh,Chirodeep Bakli",0-0-40,20,--,
ES68002,COMPREHENSIVE VIVA,Sreeraj Puravankara,0-0-0,2,--,
ES69008,ENERGY SYSYTEMS LABORATORY - II,"Amit Ghosh,Chirodeep Bakli,Debabrata Das,Jatindra Nath Roy,Prabodh Bajpai,Rintu Banerjee,Sreeraj Puravankara,Trilok Singh",0-0-3,2,N,0
ES69010,SEMINAR - II,Chirodeep Bakli,0-0-3,2,X,NC442
