Subject,Name,Faculty Name,Ltp,Credits,Slot,Room
AI60002,MACHINE LEARNING FOR EARTH SYSTEM SCIENCES,Adway Mitra,3-0-0,3,H3,NC233
AI61002,DEEP LEARNING FOUNDATIONS AND APPLICATIONS,"Debdoot Sheet,Sudeshna Sarkar",3-1-0,4,C4,"NR222,NR222"
AI61005,ARTIFICIAL INTELLIGENCE: FOUNDATIONS AND APPLICATIONS,"Arijit Mondal,Partha Pratim Chakrabarti",3-1-0,4,F4,"NR123,NR123"
EXT1043,ARTIFICIAL INTELLIGENCE KNOWLEDGE REPRESENTATION AND REASONING,Sudeshna Sarkar,3-0-0,3,--,
EXT1054,REINFORCEMENT LEARNING,Sudeshna Sarkar,3-0-0,3,--,
EXT1057,PYTHON FOR DATA SCIENCE,Sudeshna Sarkar,1-0-0,1,--,
