,Timestamp,"When you move outside your hall, with how many people do you usually move together?",How many different friend circles do you have?,"During weekdays, apart from class hours, 𝗵𝗼𝘄 𝗺𝗮𝗻𝘆 𝗱𝗮𝘆𝘀 𝗶𝗻 𝗮 𝘄𝗲𝗲𝗸 do you usually step out from your hall?","During weekdays, apart from class hours, roughly for 𝗵𝗼𝘄 𝗺𝗮𝗻𝘆 𝗵𝗼𝘂𝗿𝘀 do you stay outside your hall 𝗶𝗻 𝗮 𝗱𝗮𝘆?","During 𝘄𝗲𝗲𝗸𝗱𝗮𝘆𝘀, what are your frequent places of visit?","During weekdays, apart from class hours, how many 𝗱𝗶𝗳𝗳𝗲𝗿𝗲𝗻𝘁 𝗽𝗹𝗮𝗰𝗲𝘀 (from the above list) do you usually visit in a 𝘀𝗶𝗻𝗴𝗹𝗲 𝗱𝗮𝘆?",How many times do you usually eat out (Canteen/Restaurants/Eateries) 𝗶𝗻 𝗮 𝘄𝗲𝗲𝗸?,What are the eateries that you frequently visit?,Choose the time frames when you usually step out from your hall during 𝘄𝗲𝗲𝗸𝗲𝗻𝗱𝘀,"During 𝘄𝗲𝗲𝗸𝗲𝗻𝗱𝘀, what are your frequent places of visit?",When do you usually return to your room to sleep (if you go out)?,Your academic program,Current Year of study,Hall of Residence,Your department
374,2021/03/08 12:15:50 pm GMT+5:30,5,3,5,7,Gymkhana;Gymkhana Park;Library;Main Building;Tech Market;Other Hall of Residence;Vikramshila;Nalanda;2.2;A Department,4,10,Your own Hall Canteen;Other Hall Canteens;Tech Market;I generally eat in my hall mess,9AM-11AM;11AM-1PM;1PM-3PM;3PM-5PM;5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;2.2;Library;Main Building;Tech Market,12am-1am,UG,2nd,Azad Hall,EE
376,2021/03/08 12:15:55 pm GMT+5:30,3,4,3,4,Gymkhana;Library;Tech Market;2.2,1,4,Your own Hall Canteen;Other Hall Canteens;Tech Market;Tikka;Billoos,5PM-7PM;7PM-9PM;9PM-11PM,Gymkhana;2.2;Main Building;Vikramshila;Netaji Auditorium,11pm-12am,UG,3rd,MS Hall,MI
378,2021/03/08 12:16:18 pm GMT+5:30,3,4,5,4,Gymkhana;Main Building;Other Hall of Residence;Tata Sports Complex;Nalanda;2.2,2,4,Your own Hall Canteen;Other Hall Canteens;Peep Kitchen,9AM-11AM;11AM-1PM;5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana;2.2;Main Building;Tata Sports Complex;Nalanda Complex;Tech Market;A Department;Other,2am-3am,UG,2nd,RP Hall,EE
379,2021/03/08 12:16:18 pm GMT+5:30,2,2,3,1,Library,1,4,Your own Hall Canteen;Other Hall Canteens,5PM-7PM,2.2;Tech Market,10pm-11pm,UG,3rd,Patel Hall,ME
380,2021/03/08 12:16:23 pm GMT+5:30,2,2,2,2,Library;Tech Market;2.2,2,1,Heritage;Tech Market;Peep Kitchen;Veggies;Tikka;Smart Pind,5PM-7PM,2.2;Nalanda Complex;Tech Market,10pm-11pm,UG,2nd,MT Hall,CH
381,2021/03/08 12:16:27 pm GMT+5:30,2,2,1,1,Tech Market;A Department,1,7,Other Hall Canteens;Outside Campus;Heritage;Tech Market;Food City;VSRC canteen;Dreamland;Sahara,11AM-1PM;7PM-9PM,Other Halls of Residence;Tech Market,I usually stay in my room,PG,1st,VSRC,EC
382,2021/03/08 12:16:27 pm GMT+5:30,2,3,3,1,Gymkhana Park;Library;Main Building;Tech Market;Vikramshila;Nalanda,1,1,Your own Hall Canteen;Tech Market;Food City;I generally eat in my hall mess,5PM-7PM;7PM-9PM,Gymkhana;Tech Market;Netaji Auditorium,12am-1am,UG,2nd,LBS Hall,CH
383,2021/03/08 12:16:29 pm GMT+5:30,4,3,3,1,Gymkhana;Nalanda;2.2;A Department,1,2,Your own Hall Canteen;Other Hall Canteens;CCD Mio Amore Area,9PM-11PM,Gymkhana,2am-3am,UG,4th,Azad Hall,CH
384,2021/03/08 12:16:30 pm GMT+5:30,1,3,3,2,Tech Market;Other Hall of Residence;Nalanda;2.2;Outside Campus,2,6,PFC;Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Peep Kitchen;Subway,7PM-9PM,Other Halls of Residence;Tech Market;Outside Campus,11pm-12am,UG,4th,MMM Hall,CS
385,2021/03/08 12:16:32 pm GMT+5:30,3,3,3,3,Tech Market;Other Hall of Residence;Nalanda;2.2;A Department,1,4,Your own Hall Canteen;Other Hall Canteens;Outside Campus;Smart Pind,7PM-9PM,Other Halls of Residence,1am-2am,UG,4th,RP Hall,MT
