,Timestamp,"When you move outside your hall, with how many people do you usually move together?",How many different friend circles do you have?,"During weekdays, apart from class hours, 𝗵𝗼𝘄 𝗺𝗮𝗻𝘆 𝗱𝗮𝘆𝘀 𝗶𝗻 𝗮 𝘄𝗲𝗲𝗸 do you usually step out from your hall?","During weekdays, apart from class hours, roughly for 𝗵𝗼𝘄 𝗺𝗮𝗻𝘆 𝗵𝗼𝘂𝗿𝘀 do you stay outside your hall 𝗶𝗻 𝗮 𝗱𝗮𝘆?","During 𝘄𝗲𝗲𝗸𝗱𝗮𝘆𝘀, what are your frequent places of visit?","During weekdays, apart from class hours, how many 𝗱𝗶𝗳𝗳𝗲𝗿𝗲𝗻𝘁 𝗽𝗹𝗮𝗰𝗲𝘀 (from the above list) do you usually visit in a 𝘀𝗶𝗻𝗴𝗹𝗲 𝗱𝗮𝘆?",How many times do you usually eat out (Canteen/Restaurants/Eateries) 𝗶𝗻 𝗮 𝘄𝗲𝗲𝗸?,What are the eateries that you frequently visit?,Choose the time frames when you usually step out from your hall during 𝘄𝗲𝗲𝗸𝗲𝗻𝗱𝘀,"During 𝘄𝗲𝗲𝗸𝗲𝗻𝗱𝘀, what are your frequent places of visit?",When do you usually return to your room to sleep (if you go out)?,Your academic program,Current Year of study,Hall of Residence,Your department
0,2021/03/08 11:54:15 am GMT+5:30,1,1,1,4,Tech Market;A Department,1,4,Dreamland,1PM-3PM,I don't go anywhere,9pm-10pm,PG,5th,B R Ambedkar Hall,MT
1,2021/03/08 11:54:36 am GMT+5:30,4,2,5,4,Gymkhana;Library;Main Building;Tech Market;Other Hall of Residence,4,4,Your own Hall Canteen;Other Hall Canteens;Outside Campus;CCD Mio Amore Area,9AM-11AM;1PM-3PM;5PM-7PM,Gymkhana;2.2;Main Building;Tech Market;Basketball/Tennis Courts,11pm-12am,UG,3rd,LBS Hall,IM
2,2021/03/08 11:54:40 am GMT+5:30,3,3,5,5,Gymkhana;Gymkhana Park;Library;Main Building;Tech Market;Tata Sports Complex;2.2;Outside Campus;Nehru Museum,4,10,Your own Hall Canteen;PFC;Outside Campus;CCD Mio Amore Area;Tech Market;Peep Kitchen;Food City;Smart Pind;Subway,5PM-7PM;7PM-9PM;9PM-11PM,Gymkhana;Gymkhana Park;2.2;Library;Main Building;Tech Market;Basketball/Tennis Courts,1am-2am,UG,3rd,MMM Hall,IM
3,2021/03/08 11:54:48 am GMT+5:30,2,3,2,7,Library;Tech Market;Outside Campus;A Department,2,7,Your own Hall Canteen;Heritage;Tech Market;Veggies;Tikka,9AM-11AM;5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Library,11pm-12am,PG,2nd,MMM Hall,ME
4,2021/03/08 11:54:50 am GMT+5:30,2,2,3,4,Library;Main Building;Tech Market;Other Hall of Residence;2.2,1,1,Your own Hall Canteen,3PM-5PM;5PM-7PM,2.2;Library;Tech Market,I usually stay in my room,UG,2nd,RP Hall,MI
6,2021/03/08 11:54:58 am GMT+5:30,2,5,3,2,Library;Main Building;Other Hall of Residence;Outside Campus;A Department,3,0,Your own Hall Canteen;Other Hall Canteens;I generally eat in my hall mess,5PM-7PM;7PM-9PM;9PM-11PM,Tata Sports Complex;Outside Campus;Nehru Museum;Other,1am-2am,UG,4th,LBS Hall,CH
7,2021/03/08 11:54:58 am GMT+5:30,1,4,3,3,Gymkhana;Vikramshila;Nalanda;2.2,2,2,Your own Hall Canteen;PFC;CCD Mio Amore Area;Peep Kitchen;Food City;Smart Pind,5PM-7PM;7PM-9PM;9PM-11PM,Gymkhana;2.2;Vikramshila;Nehru Museum,12am-1am,UG,5th,SN-IG Hall,MA
8,2021/03/08 11:55:01 am GMT+5:30,4,4,2,1,Library;Main Building;Tech Market;2.2,0,2,Your own Hall Canteen,7PM-9PM,Main Building;Tech Market,11pm-12am,UG,3rd,Azad Hall,EC
9,2021/03/08 11:55:02 am GMT+5:30,2,2,1,2,Library;Tech Market,1,1,Outside Campus;Tech Market;Peep Kitchen;Smart Pind,3PM-5PM,2.2;Library,10pm-11pm,UG,4th,RP Hall,MT
10,2021/03/08 11:55:05 am GMT+5:30,3,2,5,4,Gymkhana;Library;Main Building;Tech Market;Other Hall of Residence;Vikramshila;Nalanda;2.2;Outside Campus;A Department,2,2,Your own Hall Canteen;Other Hall Canteens;CCD Mio Amore Area;Veggies;Tikka;Smart Pind;I generally eat in my hall mess,7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana;2.2;Library;Main Building;Nalanda Complex;Tech Market;Nehru Museum,11pm-12am,UG,2nd,Nehru Hall,MA
11,2021/03/08 11:55:05 am GMT+5:30,2,3,1,2,Tech Market;Vikramshila;Nalanda,1,2,Your own Hall Canteen;CCD Mio Amore Area,5PM-7PM,Gymkhana;Tech Market,I usually stay in my room,UG,4th,RP Hall,CH
12,2021/03/08 11:55:07 am GMT+5:30,2,3,2,2,Basketball/Tennis courts;Other,1,6,Your own Hall Canteen;PFC;CCD Mio Amore Area,1PM-3PM;7PM-9PM,Outside Campus;Netaji Auditorium,11pm-12am,UG,5th,Azad Hall,CS
13,2021/03/08 11:55:07 am GMT+5:30,2,2,2,1,Tech Market,1,3,Your own Hall Canteen;Other Hall Canteens,5PM-7PM;7PM-9PM,Tech Market,11pm-12am,PG,2nd,MMM Hall,ME
15,2021/03/08 11:55:17 am GMT+5:30,4,4,4,4,Gymkhana;Library;Main Building;Tech Market;Other Hall of Residence;Vikramshila;Nalanda;Outside Campus;A Department,3,8,Your own Hall Canteen;PFC;Other Hall Canteens;Outside Campus;Heritage;Tech Market;Peep Kitchen;Veggies;Food City;VSRC canteen;Super Duper;Subway,9AM-11AM;11AM-1PM;1PM-3PM;3PM-5PM;5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Tech Market;Outside Campus;A Department,11pm-12am,UG,5th,Patel Hall,ME
17,2021/03/08 11:55:21 am GMT+5:30,5,2,5,2,Library;Main Building;Tech Market;Other Hall of Residence;Tata Sports Complex;Basketball/Tennis courts;A Department,2,3,Your own Hall Canteen;Other Hall Canteens;Food City;Dreamland;Sahara;Smart Pind,5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Tata Sports Complex;Tech Market;A Department,10pm-11pm,UG,3rd,RK Hall,ME
18,2021/03/08 11:55:22 am GMT+5:30,2,4,3,2,Gymkhana Park;Tech Market;2.2,2,5,Your own Hall Canteen;Other Hall Canteens;CCD Mio Amore Area;Tech Market;Peep Kitchen,5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;2.2;Tech Market;Outside Campus;Other,9pm-10pm,UG,2nd,LBS Hall,ME
19,2021/03/08 11:55:25 am GMT+5:30,2,2,4,2,Tech Market;Other Hall of Residence;2.2,2,10,Your own Hall Canteen;PFC;Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Tech Market;Super Duper;Subway,5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;2.2;Tech Market;Basketball/Tennis Courts;Outside Campus,12am-1am,UG,5th,Azad Hall,EE
20,2021/03/08 11:55:30 am GMT+5:30,4,4,3,2,Tech Market;Basketball/Tennis courts;2.2;A Department,1,2,Your own Hall Canteen;Other Hall Canteens;CCD Mio Amore Area;Tech Market;Peep Kitchen;I generally eat in my hall mess,5PM-7PM;7PM-9PM,Tata Sports Complex;Tech Market;Basketball/Tennis Courts,10pm-11pm,UG,2nd,LBS Hall,CS
21,2021/03/08 11:55:32 am GMT+5:30,4,3,2,2,Tech Market,1,2,PFC;Tech Market;Other,5PM-7PM;7PM-9PM,Tech Market;Outside Campus,9pm-10pm,PG,2nd,MMM Hall,CH
22,2021/03/08 11:55:36 am GMT+5:30,2,2,3,3,Gymkhana;Library;Tech Market;Other Hall of Residence;2.2,2,3,Your own Hall Canteen;PFC;Other Hall Canteens;CCD Mio Amore Area;Heritage;Dreamland;Smart Pind;Subway,1PM-3PM;7PM-9PM;9PM-11PM,Gymkhana;2.2;Library;Main Building;A Department,12am-1am,UG,4th,LBS Hall,MF
23,2021/03/08 11:55:36 am GMT+5:30,3,5,2,5,Gymkhana;Gymkhana Park;Library;Tech Market;Tata Sports Complex;Basketball/Tennis courts,1,2,Your own Hall Canteen,5PM-7PM;7PM-9PM;9PM-11PM,Gymkhana;Gymkhana Park;2.2;Library;Tech Market,9pm-10pm,UG,3rd,RP Hall,CE
25,2021/03/08 11:55:42 am GMT+5:30,0,3,2,2,Tech Market;Tata Sports Complex,1,1,Your own Hall Canteen,Never,I don't go anywhere,9pm-10pm,UG,2nd,RK Hall,ME
26,2021/03/08 11:55:42 am GMT+5:30,2,2,5,3,Gymkhana;Gymkhana Park;Library;Tech Market;Nalanda;2.2;A Department,4,2,CCD Mio Amore Area;Veggies;Food City;Tikka,7PM-9PM,Other Halls of Residence;Gymkhana;2.2;Library;Tech Market,11pm-12am,UG,3rd,Nivedita Hall,CE
27,2021/03/08 11:55:44 am GMT+5:30,3,1,4,3,Library;Tech Market;Tata Sports Complex,2,0,Your own Hall Canteen,5PM-7PM;7PM-9PM,Main Building;Tata Sports Complex;Outside Campus,11pm-12am,UG,5th,LBS Hall,EX
28,2021/03/08 11:55:46 am GMT+5:30,2,2,2,2,Main Building;Tech Market;Basketball/Tennis courts;2.2;Outside Campus,1,4,Your own Hall Canteen;CCD Mio Amore Area;Tech Market;Veggies,5PM-7PM;7PM-9PM;9PM-11PM,Basketball/Tennis Courts;Outside Campus;Netaji Auditorium,12am-1am,UG,4th,MMM Hall,PH
29,2021/03/08 11:55:47 am GMT+5:30,1,5,2,3,Tech Market,1,1,Billoos,9AM-11AM,Tech Market,I usually stay in my room,PG,2nd,MMM Hall,ME
30,2021/03/08 11:55:48 am GMT+5:30,3,3,5,1,Library;Tech Market;2.2,1,4,Your own Hall Canteen;PFC;CCD Mio Amore Area;Tech Market,11AM-1PM;7PM-9PM,2.2;Outside Campus;Other,11pm-12am,UG,5th,Azad Hall,QM
31,2021/03/08 11:55:49 am GMT+5:30,1,2,4,2,Gymkhana;Tech Market;A Department,2,4,Your own Hall Canteen;Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Tech Market;Food City;VSRC canteen;Dreamland;Tikka;Subway,9AM-11AM;11AM-1PM;3PM-5PM;5PM-7PM;7PM-9PM,Gymkhana;2.2;Tech Market;Outside Campus;Netaji Auditorium;A Department,1am-2am,PG,3rd,VSRC,CS
32,2021/03/08 11:55:49 am GMT+5:30,2,5,2,0,Gymkhana Park;Tech Market,1,1,Your own Hall Canteen;Tech Market,5PM-7PM,Library,9pm-10pm,PG,2nd,B R Ambedkar Hall,HS
33,2021/03/08 11:55:50 am GMT+5:30,2,2,3,2,Tech Market,2,3,Your own Hall Canteen;PFC;Other Hall Canteens,5PM-7PM;7PM-9PM,I don't go anywhere,10pm-11pm,UG,3rd,Azad Hall,AE
34,2021/03/08 11:55:51 am GMT+5:30,3,2,5,2,Gymkhana;Gymkhana Park;Library;Main Building;Other Hall of Residence;Tata Sports Complex;Other,2,3,Your own Hall Canteen;Other Hall Canteens;CCD Mio Amore Area;Veggies,7PM-9PM,Other Halls of Residence;Gymkhana;Library;Main Building;Tata Sports Complex;Tech Market;A Department;Other,10pm-11pm,PG,2nd,MMM Hall,MA
35,2021/03/08 11:55:54 am GMT+5:30,0,3,5,6,Gymkhana;Tata Sports Complex;Nalanda;2.2;Nehru Museum,2,1,Other Hall Canteens;Food City;I generally eat in my hall mess,11AM-1PM;3PM-5PM;5PM-7PM;7PM-9PM;9PM-11PM,Gymkhana;2.2;Tata Sports Complex;A Department;Nehru Museum,12am-1am,UG,3rd,RP Hall,EE
36,2021/03/08 11:55:54 am GMT+5:30,2,3,5,6,Gymkhana;Other Hall of Residence;2.2,3,5,Your own Hall Canteen;Other Hall Canteens;Veggies;VSRC canteen,3PM-5PM;5PM-7PM;9PM-11PM,Other Halls of Residence;Gymkhana;2.2,11pm-12am,UG,2nd,LBS Hall,MF
37,2021/03/08 11:55:54 am GMT+5:30,2,0,2,1,Basketball/Tennis courts,1,1,Your own Hall Canteen;I generally eat in my hall mess,5PM-7PM,Basketball/Tennis Courts,9pm-10pm,PG,2nd,MMM Hall,MA
38,2021/03/08 11:55:55 am GMT+5:30,2,3,5,2,2.2,1,2,Outside Campus,1PM-3PM;7PM-9PM,2.2,11pm-12am,UG,3rd,JCB Hall,CS
40,2021/03/08 11:55:58 am GMT+5:30,0,1,2,4,Library;Tech Market;Basketball/Tennis courts,2,2,Your own Hall Canteen,9AM-11AM;7PM-9PM;9PM-11PM,Library;Tech Market;Basketball/Tennis Courts,11pm-12am,UG,4th,JCB Hall,CS
41,2021/03/08 11:55:59 am GMT+5:30,1,2,2,2,Library;Main Building;Tech Market;2.2,3,6,Your own Hall Canteen;PFC;Smart Pind,9AM-11AM;9PM-11PM,2.2;Main Building;Tech Market,I usually stay in my room,UG,2nd,LBS Hall,CY
42,2021/03/08 11:56:01 am GMT+5:30,3,2,2,3,Gymkhana;Tech Market;Vikramshila;Nalanda;2.2;A Department,2,2,Your own Hall Canteen;Tech Market;VSRC canteen,9AM-11AM;5PM-7PM;9PM-11PM,Gymkhana;2.2;Tech Market;Netaji Auditorium,10pm-11pm,UG,2nd,Patel Hall,CS
43,2021/03/08 11:56:02 am GMT+5:30,2,1,5,4,Gymkhana;Library;Tech Market;Other Hall of Residence;Nalanda;2.2;A Department,3,4,Your own Hall Canteen;PFC;CCD Mio Amore Area;Tech Market;Veggies;Food City,5PM-7PM;7PM-9PM;9PM-11PM,Gymkhana;2.2;Library;Tech Market;Outside Campus,10pm-11pm,PG,2nd,MMM Hall,EC
44,2021/03/08 11:56:04 am GMT+5:30,2,2,2,3,Gymkhana;Gymkhana Park;Library,2,3,Heritage,9PM-11PM,A Department,1am-2am,UG,2nd,Azad Hall,EE
45,2021/03/08 11:56:08 am GMT+5:30,4,3,5,2,Library;Main Building;Tech Market;Other Hall of Residence;Nalanda;A Department,2,2,Your own Hall Canteen;Food City,5PM-7PM,Other Halls of Residence,10pm-11pm,UG,3rd,Patel Hall,ME
46,2021/03/08 11:56:11 am GMT+5:30,1,2,5,4,Gymkhana;Gymkhana Park;Library;Main Building;Tech Market;Other Hall of Residence;2.2;Outside Campus;A Department,4,10,Your own Hall Canteen;PFC;Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Heritage;Tech Market;VSRC canteen;Tikka;Smart Pind,11AM-1PM;1PM-3PM;3PM-5PM;5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana;Gymkhana Park;2.2;Tech Market;Outside Campus;A Department,11pm-12am,UG,3rd,RP Hall,
47,2021/03/08 11:56:12 am GMT+5:30,0,2,2,2,Gymkhana Park;Tech Market;Tata Sports Complex;2.2,2,1,Your own Hall Canteen;PFC;Tikka,7PM-9PM,Gymkhana Park;2.2;Tata Sports Complex,10pm-11pm,UG,5th,JCB Hall,
48,2021/03/08 11:56:13 am GMT+5:30,4,2,2,2,Library;Main Building;Tech Market;Nalanda;2.2,2,1,Your own Hall Canteen;Tikka;I generally eat in my hall mess,3PM-5PM;5PM-7PM,2.2;Tech Market,I usually stay in my room,UG,2nd,SN-IG Hall,EE
49,2021/03/08 11:56:13 am GMT+5:30,2,3,2,3,Gymkhana;Main Building;Tech Market;Nalanda;2.2,2,7,Your own Hall Canteen;Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Tech Market,11AM-1PM;1PM-3PM;7PM-9PM,Other Halls of Residence;Gymkhana;2.2;Tech Market;Outside Campus,11pm-12am,UG,2nd,RP Hall,BT
51,2021/03/08 11:56:23 am GMT+5:30,4,2,2,2,Library;Tech Market,2,2,Tech Market,5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Library;Tech Market;Basketball/Tennis Courts;Outside Campus,11pm-12am,UG,2nd,MMM Hall,ME
52,2021/03/08 11:56:23 am GMT+5:30,5,5,5,5,Gymkhana;Gymkhana Park;Library;Main Building;Tech Market,4,3,Your own Hall Canteen;PFC;Other Hall Canteens;Outside Campus;Heritage;Tech Market;Peep Kitchen;Veggies;Billoos;Smart Pind,5PM-7PM;7PM-9PM;9PM-11PM,Library;Main Building;Tech Market,11pm-12am,PG,2nd,MMM Hall,CH
53,2021/03/08 11:56:28 am GMT+5:30,2,5,5,8,Gymkhana;Gymkhana Park;Library;Main Building;Tech Market;Other Hall of Residence;Tata Sports Complex;Basketball/Tennis courts;Vikramshila;Nalanda;2.2;Outside Campus;A Department;Nehru Museum;Other,3,10,Your own Hall Canteen;PFC;Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Heritage;Tech Market;Peep Kitchen;Veggies;Food City;VSRC canteen;Dreamland;Sahara;Super Duper;Tikka;Billoos;Smart Pind;Subway;Other,9PM-11PM,Other Halls of Residence;Gymkhana;Gymkhana Park;2.2;Library;Main Building;Tata Sports Complex;Nalanda Complex;Vikramshila;Tech Market;Basketball/Tennis Courts;Outside Campus;Netaji Auditorium;A Department;Nehru Museum;Other,1am-2am,UG,4th,LBS Hall,BT
55,2021/03/08 11:56:33 am GMT+5:30,4,5,4,6,Tech Market,1,2,Your own Hall Canteen,5PM-7PM,Tech Market,11pm-12am,PG,2nd,LBS Hall,CH
56,2021/03/08 11:56:34 am GMT+5:30,1,2,5,2,Gymkhana;Library;Tech Market;Tata Sports Complex,1,2,Your own Hall Canteen;Other Hall Canteens;Outside Campus;Tech Market,5PM-7PM,Gymkhana;Tata Sports Complex;Tech Market,9pm-10pm,PG,2nd,MMM Hall,CE
57,2021/03/08 11:56:37 am GMT+5:30,2,2,3,4,Gymkhana;Library;Tech Market;2.2,1,7,Your own Hall Canteen;Other Hall Canteens;CCD Mio Amore Area;Peep Kitchen;Veggies;Food City;Smart Pind;Subway,7PM-9PM;9PM-11PM,Gymkhana;2.2;Tech Market,12am-1am,UG,2nd,LBS Hall,EC
58,2021/03/08 11:56:43 am GMT+5:30,1,1,2,1,Gymkhana;Main Building;Tech Market;2.2,1,10,Your own Hall Canteen;PFC;Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Heritage;Tech Market;Veggies;Smart Pind,5PM-7PM,Gymkhana;2.2;Tech Market,12am-1am,UG,4th,Vidyasagar Hall,CS
59,2021/03/08 11:56:45 am GMT+5:30,1,1,5,8,Gymkhana;Tech Market;2.2;A Department,4,4,Tech Market;Super Duper;Other,9AM-11AM,Tech Market;A Department;Other,11pm-12am,PG,5th,B R Ambedkar Hall,AG
60,2021/03/08 11:56:52 am GMT+5:30,3,3,5,6,Gymkhana;Gymkhana Park;Library;Main Building;Tech Market;Tata Sports Complex;Basketball/Tennis courts;2.2;Outside Campus;A Department,4,6,Your own Hall Canteen;Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Tech Market;Peep Kitchen;Veggies;Dreamland;Subway,9AM-11AM;11AM-1PM;5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;2.2;Library;Tech Market;Outside Campus;Netaji Auditorium;Other,10pm-11pm,PG,2nd,MMM Hall,ME
61,2021/03/08 11:56:55 am GMT+5:30,1,1,3,1,Tech Market;Tata Sports Complex;A Department,2,4,CCD Mio Amore Area;Tech Market;Tikka,11AM-1PM;5PM-7PM,Tech Market;A Department,10pm-11pm,PG,3rd,Nivedita Hall,CH
62,2021/03/08 11:56:59 am GMT+5:30,3,5,5,3,Gymkhana;Other Hall of Residence;Nalanda;A Department;Other,2,5,Your own Hall Canteen;Other Hall Canteens;CCD Mio Amore Area;Veggies,1PM-3PM;3PM-5PM;5PM-7PM;9PM-11PM,Gymkhana;2.2;Outside Campus,12am-1am,UG,4th,MS Hall,BT
63,2021/03/08 11:57:03 am GMT+5:30,1,2,3,3,Tech Market;Vikramshila;2.2,2,2,Your own Hall Canteen;Other Hall Canteens;CCD Mio Amore Area,5PM-7PM;7PM-9PM;9PM-11PM,2.2;Vikramshila;Tech Market,11pm-12am,UG,2nd,Patel Hall,IE
64,2021/03/08 11:57:06 am GMT+5:30,6,4,5,6,Gymkhana;Tech Market;Other Hall of Residence;Vikramshila;Nalanda;2.2;Outside Campus,2,8,Your own Hall Canteen;Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Food City;Billoos,3PM-5PM;5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana;2.2;Vikramshila,2am-3am,UG,4th,RP Hall,ME
66,2021/03/08 11:57:09 am GMT+5:30,4,5,5,4,Gymkhana Park;Main Building;Tech Market;Other Hall of Residence;2.2;Outside Campus;Nehru Museum,4,10,Your own Hall Canteen;Outside Campus;CCD Mio Amore Area;Veggies;Food City;Super Duper;Billoos;Smart Pind,5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana;2.2;Main Building;Nalanda Complex;Vikramshila;Nehru Museum,2am-3am,UG,2nd,LBS Hall,ME
67,2021/03/08 11:57:14 am GMT+5:30,4,2,1,1,Gymkhana;Gymkhana Park;Library;Tech Market,1,3,Your own Hall Canteen;Outside Campus,7PM-9PM,Gymkhana;Tech Market,10pm-11pm,UG,3rd,LBS Hall,IM
68,2021/03/08 11:57:17 am GMT+5:30,2,2,1,3,Library;Main Building;Tech Market;A Department,1,1,I generally eat in my hall mess,9AM-11AM,Tech Market,9pm-10pm,UG,2nd,MMM Hall,ME
69,2021/03/08 11:57:19 am GMT+5:30,3,2,3,3,Gymkhana Park;Library;Tech Market;Vikramshila;2.2;Outside Campus;Nehru Museum;Other,1,5,Other Hall Canteens;CCD Mio Amore Area;Peep Kitchen;Smart Pind,5PM-7PM;7PM-9PM;9PM-11PM,Gymkhana Park;2.2;Vikramshila;Outside Campus;Nehru Museum,2am-3am,UG,3rd,SN-IG Hall,EC
70,2021/03/08 11:57:25 am GMT+5:30,4,3,3,3,Gymkhana;Gymkhana Park;Library;Main Building;Tech Market;Other Hall of Residence;Nalanda;2.2;Outside Campus;Nehru Museum,2,10,Your own Hall Canteen;Outside Campus;CCD Mio Amore Area;Peep Kitchen;Food City;Subway;Other,5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana;Gymkhana Park;2.2;Tech Market;Outside Campus;Nehru Museum,2am-3am,UG,3rd,RK Hall,EE
71,2021/03/08 11:57:30 am GMT+5:30,3,4,2,4,Tech Market;Tata Sports Complex,1,3,Your own Hall Canteen;PFC;Other Hall Canteens;Tech Market,5PM-7PM,Tech Market;Outside Campus,I usually stay in my room,UG,4th,Patel Hall,MT
72,2021/03/08 11:57:34 am GMT+5:30,3,4,5,3,Gymkhana;Gymkhana Park;Library;Main Building;Tech Market;Other Hall of Residence;Nalanda;2.2;Outside Campus;A Department,1,6,Your own Hall Canteen;Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Tech Market;Food City;Other;I generally eat in my hall mess,5PM-7PM;7PM-9PM,Outside Campus;I don't go anywhere,11pm-12am,UG,3rd,RP Hall,EC
74,2021/03/08 11:57:40 am GMT+5:30,1,1,5,5,Gymkhana Park;Library;Tech Market;2.2;Other,1,5,Your own Hall Canteen;Other Hall Canteens;Heritage;Other,5PM-7PM;7PM-9PM;9PM-11PM,Other Halls of Residence;2.2;Library;Other,2am-3am,UG,4th,Patel Hall,EE
75,2021/03/08 11:57:43 am GMT+5:30,1,2,1,0,Tech Market;Tata Sports Complex;I don't go anywhere,1,1,Your own Hall Canteen;Tech Market;I generally eat in my hall mess,9AM-11AM;9PM-11PM,Other Halls of Residence;Gymkhana;Tata Sports Complex;Tech Market,10pm-11pm,PG,2nd,MMM Hall,AG
76,2021/03/08 11:57:44 am GMT+5:30,1,2,2,1,Tech Market,1,6,Dreamland,5PM-7PM,Tech Market,9pm-10pm,PG,5th,Other,MT
77,2021/03/08 11:57:46 am GMT+5:30,3,2,3,3,Tech Market;Other Hall of Residence;Other,2,6,Your own Hall Canteen;Other Hall Canteens;Peep Kitchen,7PM-9PM;9PM-11PM,Other Halls of Residence;Library;Tech Market,12am-1am,UG,4th,B R Ambedkar Hall,MA
78,2021/03/08 11:57:46 am GMT+5:30,3,4,5,3,Library;Main Building;Tech Market;Other Hall of Residence;Vikramshila;Nalanda;2.2;A Department,3,10,Your own Hall Canteen;Other Hall Canteens;CCD Mio Amore Area;Peep Kitchen;Veggies;Smart Pind;Subway,11AM-1PM;1PM-3PM;5PM-7PM;7PM-9PM;9PM-11PM,Gymkhana Park;2.2;Tech Market,10pm-11pm,UG,4th,MMM Hall,EE
79,2021/03/08 11:57:48 am GMT+5:30,2,3,0,1,Gymkhana;Gymkhana Park;Library;Tech Market;Other Hall of Residence,1,5,Your own Hall Canteen;PFC;Other Hall Canteens;Tech Market,5PM-7PM,Tech Market;A Department,9pm-10pm,UG,5th,Azad Hall,CE
80,2021/03/08 11:57:48 am GMT+5:30,2,1,4,5,Gymkhana Park;Library;Tech Market;Other Hall of Residence;Other,2,8,Your own Hall Canteen;CCD Mio Amore Area;Tech Market;Tikka,5PM-7PM;7PM-9PM;9PM-11PM,Gymkhana;Gymkhana Park;Library;Main Building;Tata Sports Complex;Nalanda Complex;Tech Market;Outside Campus;Netaji Auditorium;A Department;Nehru Museum,2am-3am,PG,2nd,LBS Hall,GG
81,2021/03/08 11:57:50 am GMT+5:30,0,3,3,6,Gymkhana;Gymkhana Park;Library;Main Building;Tata Sports Complex;Nalanda;2.2,1,4,PFC;Tikka;I generally eat in my hall mess,9AM-11AM;3PM-5PM;5PM-7PM;7PM-9PM;9PM-11PM,Gymkhana;Gymkhana Park;2.2;Library;Main Building;Tata Sports Complex;Tech Market,12am-1am,UG,3rd,MS Hall,MT
82,2021/03/08 11:57:53 am GMT+5:30,2,4,4,1,Gymkhana;Gymkhana Park;Other Hall of Residence;2.2;Other,1,6,Your own Hall Canteen;Other Hall Canteens;Outside Campus;CCD Mio Amore Area;Peep Kitchen;Smart Pind;Other,7PM-9PM;9PM-11PM,Other Halls of Residence;Gymkhana;Gymkhana Park;2.2;Tech Market;Outside Campus,11pm-12am,UG,4th,MS Hall,EE
83,2021/03/08 11:58:00 am GMT+5:30,3,2,1,2,Gymkhana;Library;Main Building;Tech Market;Nalanda;A Department,0,3,Your own Hall Canteen;CCD Mio Amore Area;Tech Market;Peep Kitchen;Smart Pind;I generally eat in my hall mess,5PM-7PM;7PM-9PM,Gymkhana;Library;Tech Market;Basketball/Tennis Courts;A Department;Other,I usually stay in my room,UG,2nd,LBS Hall,AE
84,2021/03/08 11:58:01 am GMT+5:30,4,5,5,8,Gymkhana;Gymkhana Park;Main Building;Tech Market;Other Hall of Residence;Tata Sports Complex;Vikramshila;Nalanda;2.2;Outside Campus;A Department,4,10,Your own Hall Canteen;PFC;Outside Campus;CCD Mio Amore Area;Heritage;Tech Market;Peep Kitchen;Veggies;Smart Pind;Subway,9AM-11AM;11AM-1PM;1PM-3PM;3PM-5PM;5PM-7PM;7PM-9PM;9PM-11PM,Gymkhana;Gymkhana Park;2.2;Main Building;Tata Sports Complex;Nalanda Complex;Vikramshila;Tech Market;Outside Campus,12am-1am,UG,3rd,MS Hall,EC
85,2021/03/08 11:58:01 am GMT+5:30,4,3,4,2,Gymkhana;Gymkhana Park;Library;Main Building;Tech Market;Other Hall of Residence;Nalanda;2.2,2,7,Your own Hall Canteen;PFC;Other Hall Canteens;Food City,11AM-1PM;5PM-7PM;9PM-11PM,Other Halls of Residence;Gymkhana;Gymkhana Park;2.2;Main Building;Outside Campus,11pm-12am,UG,3rd,LBS Hall,CS
86,2021/03/08 11:58:04 am GMT+5:30,4,1,5,1,Gymkhana;Gymkhana Park;Tech Market;2.2,1,2,Your own Hall Canteen;Tech Market;Tikka,3PM-5PM,Other Halls of Residence;2.2;Tech Market,9pm-10pm,UG,2nd,Patel Hall,CH
